name,link,edition,author,release,ratings,rating_counts,price,genres
FOREST GUARD BOOK YUVA UPNISHAD | YUVA UPNISHAD VANRAKSHAK BOOK | YUVA FOREST GUARD BEAT GUARD BOOK,/FOREST-GUARD-BOOK-UPNISHAD-VANRAKSHAK/dp/B0BK3DD2V9,Gujarati Edition , by WWW.OJASBOOKS.COM , 1 January 2022,4.4,21  ,330,
SSC Maths 6800 TCS MCQ Chapter wise 3rd Edition English medium,/Maths-6800-Chapter-English-medium/dp/B0B97HZJWM,,by Pinnacle Publications , 14 August 2022,4.4,185  ,720,
Brilliant Brain Activity Book 7+,/Brilliant-Brain-Activity-Book-7/dp/9389281059,,by Dreamland Publications , 1 January 2020,4.4,"1,198  ",250,
"Hadbe 35,000+ Jumbo Mega Police Bharti - THE SMART BOOK - 2022/ 10th Ed. - 100+ Videos, 200+ Test Ranks and 100+ Sarav Test Including",/Hadbe-Jumbo-Mega-Police-Bharti/dp/B09RH238TF,Marathi Edition ," by Siddheshwar Hadbe, Nitin Satre, et al. ", 19 June 2022,4.2,86  ,690,
"The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing",/Intelligent-Investor-Collins-Business-Essentials-ebook/dp/B000FC12C8,,"by Benjamin Graham , Jason Zweig , et al. ", 17 March 2009,4.5,"40,097  ","2,194",in Finance eTextbooks
Arithmetic Volume 1 Maths Book By Aditya Sir (Complete Class Notes),/Arithmetic-Maths-Aditya-Complete-Class/dp/B0B2DT725Y,Hindi Edition , by Aditya Patel , 1 January 2022,4.5,609  ,700,
Balasaheb Shinde - Paripurna Marathi Vyakaran - 3750+ Vastunishtha Prashna - 2022 - 15th Ed.,/Balasaheb-Shinde-Paripurna-Vyakaran-Vastunishtha/dp/B09QXG4TGS,Marathi Edition,4.3,238  ,380.0,,,
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,/Colour-Crayons-Part-Dreamland-Publications/dp/1730175066,,by Dreamland Publications , 1 January 2021,4.2,"7,006  ",80,"in Children's Crafts, Hobbies & Practical Interests"
Tales from Indian Mythology (Collection of 10 Books): Story Books For Kids,/Tales-Indian-Mythology-Collection-Books/dp/9354400507,,by Wonder House Books , 28 February 2022,4.4,108  ,699,
Jolly Kids Picture Talk and Conversation Book for Kids Age 2-6 Years,/Picture-Talk-Conversation-NA/dp/8175352728,,by Jolly Kids , 1 January 2016,4.5,"1,005  ",275,
Doglapan: The Hard Truth about Life and Start-Ups,/Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X,,by Ashneer Grover  , 10 December 2022,4.3,378  ,499,in Business Entrepreneurship Textbooks
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!: (25th Anniversary Edition),/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131,,by Robert T. Kiyosaki  , 6 August 2022,4.5,"14,965  ",599,
Sapiens: THE MULTI-MILLION COPY BESTSELLER,/Sapiens-Humankind-Yuval-Noah-Harari-ebook/dp/B00K7ED54M,,by Yuval Noah Harari  , 4 September 2014,4.7,"52,512  ",957,in Anthropology
इकिगाई मराठी | Ikigai (Marathi Book) | दीर्घायुषी निरोगी आणि आनंदी जीवनाचे जपानी रहस्य | Japanese secret of Happy and long healthy life : In search of Purpose of life,/Marathi-%E0%A4%A6%E0%A5%80%E0%A4%B0%E0%A5%8D%E0%A4%98%E0%A4%BE%E0%A4%AF%E0%A5%81%E0%A4%B7%E0%A5%80-%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8%E0%A4%BE%E0%A4%9A%E0%A5%87-Japanese-healthy/dp/9391282660,Marathi Edition , by Hector Garcia and Fransesc Miralles , 1 January 2019,,,195,
"Punekar Publications General Management | Samanya Prabandhan | सामान्य प्रबंधन | New syllabus Book in hindi for Mp patwari, Group-2 : Subgroup-4 & all Mppeb Exams 2022-23",/Punekar-Publications-Management-Prabandhan-syllabus/dp/B0BPHPB3L2,Hindi Edition , by Punekar Expert , 29 November 2022,,,240,in Police Exams
The Alchemist,/Alchemist-Paulo-Coelho-ebook/dp/B00U6SFUSS,,by Paulo Coelho  , 24 February 2015,4.6,"96,675  ","1,069",
Yashoda Vanrakshak Bharti Paripurna Margadarshak - TCS va IBPS Abhyaaskramavar Adharit - 2023/Ed.,/Yashoda-Vanrakshak-Bharti-Paripurna-Margadarshak/dp/B0BPYDV3MQ,Marathi Edition , by Somnath Gunaware and Snehal Thorat - Turkunde , 12 December 2022,,,280,
The Power of Your Subconscious Mind,/Power-Your-Subconscious-Mind-Success/dp/8172345666,,by Joseph Murphy  , 1 February 2015,4.5,"64,809  ",199,in Earth Sciences Books
GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Multi Color Game Book (English) - Reprinted 2022,/GIKSO-100-Maths-Puzzles-Book/dp/8193864999,,by GIKSO , 1 January 2019,4.4,"2,820  ",245,
