name,link,paperlink
Murder on the Orient Express (Poirot),https://www.amazon.in/Murder-Orient-Express-Poirot-Christie/dp/0007527500/ref=zg_bs_1318161031_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Murder-Orient-Express-Poirot-Christie/dp/0007527500/ref=zg_bs_1318161031_sccl_24/000-0000000-0000000?psc=1
Dark Matter,https://www.amazon.in/Dark-Matter/dp/B07B7BKT8Y/ref=zg_bs_1318161031_sccl_25/000-0000000-0000000?psc=1,https://www.amazon.in/Dark-Matter/dp/B07B7BKT8Y/ref=zg_bs_1318161031_sccl_25/000-0000000-0000000?psc=1
The Woman in the Window: The Number One Sunday Times bestselling debut crime thriller now a major film on Netflix!,https://www.amazon.in/Woman-Window-J-Finn/dp/0008294372/ref=zg_bs_1318161031_sccl_26/000-0000000-0000000?psc=1,https://www.amazon.in/Woman-Window-J-Finn/dp/0008294372/ref=zg_bs_1318161031_sccl_26/000-0000000-0000000?psc=1
"The Guest List: From the author of The Hunting Party, the No.1 Sunday Times bestseller and prize winning mystery thriller in ",https://www.amazon.in/Guest-List-Lucy-Foley/dp/0008403775/ref=zg_bs_1318161031_sccl_27/000-0000000-0000000?psc=1,https://www.amazon.in/Guest-List-Lucy-Foley/dp/0008403775/ref=zg_bs_1318161031_sccl_27/000-0000000-0000000?psc=1
The Perfect Marriage: A Completely Gripping Psychological Suspense,https://www.amazon.in/Perfect-Marriage-Completely-Gripping-Psychological-ebook/dp/B09C6LW4XW/ref=zg_bs_1318161031_sccl_28/000-0000000-0000000?psc=1,https://www.amazon.in/Perfect-Marriage-completely-gripping-psychological/dp/1913419657/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Ghosts in the Dark Silence,https://www.amazon.in/Ghosts-Dark-Silence-Anita-Krishan/dp/9354406246/ref=zg_bs_1318161031_sccl_29/000-0000000-0000000?psc=1,https://www.amazon.in/Ghosts-Dark-Silence-Anita-Krishan/dp/9354406246/ref=zg_bs_1318161031_sccl_29/000-0000000-0000000?psc=1
The Boys from Biloxi: Two families. One courtroom showdown - The perfect gift for a thrilling Christmas,https://www.amazon.in/Boys-Biloxi-families-courtroom-phenomenon-ebook/dp/B09YHZ8DKD/ref=zg_bs_1318161031_sccl_30/000-0000000-0000000?psc=1,https://www.amazon.in/Boys-Biloxi-ANZ-Only-bestselling/dp/1399702750/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Sree Iyer Who painted my money white: When greed drives everything else and everything has a price (Money Trilogy Book 1) (En,https://www.amazon.in/Who-painted-money-white-everything/dp/1732025622/ref=zg_bs_1318161031_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Who-painted-money-white-everything/dp/1732025622/ref=zg_bs_1318161031_sccl_1/000-0000000-0000000?psc=1
"No Plan B: The unputdownable new 2022 Jack Reacher thriller from the No.1 bestselling authors (Jack Reacher, 27)",https://www.amazon.in/No-Plan-Jack-Reacher-27/dp/1787633764/ref=zg_bs_1318161031_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/No-Plan-Jack-Reacher-27/dp/1787633764/ref=zg_bs_1318161031_sccl_2/000-0000000-0000000?psc=1
என்னையே தந்தேன் உனக்காக!!!: Ennaiye thanthen unakkaga (Tamil Edition),https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88%E0%AE%AF%E0%AF%87-%E0%AE%A4%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%87%E0%AE%A9%E0%AF%8D-%E0%AE%89%E0%AE%A9%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%95-thanthen-unakkaga-ebook/dp/B0B6Q1FP8S/ref=zg_bs_1318161031_sccl_3/000-0000000-0000000?psc=1,
