name,link,genres,image,rank,author,author_link,ratings,counts,reviews
War of Lanka (Ram Chandra Series Book 4),https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_4149493031_sccl_3/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/91+T1TAxkKL._AC_UL300_SR300,200_.jpg",3,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_4149493031_bl_sccl_3/000-0000000-0000000,4.3 out of 5 stars,"2,822",https://www.amazon.in/product-reviews/9356291527/ref=zg_bs_4149493031_cr_sccl_3/000-0000000-0000000
TUESDAYS WITH MORRIE (EXPORT) (A FORMAT),https://www.amazon.in/Tuesdays-Morrie-young-greatest-lesson/dp/0751527378/ref=zg_bs_4149493031_sccl_4/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/41ZzHcgFUWS._AC_UL300_SR300,200_.jpg",4,Mitch Albom,https://www.amazon.in/Mitch-Albom/e/B000AQ79EY/ref=zg_bs_4149493031_bl_sccl_4/000-0000000-0000000,4.6 out of 5 stars,"13,168",https://www.amazon.in/product-reviews/0751527378/ref=zg_bs_4149493031_cr_sccl_4/000-0000000-0000000
Sapiens: A Brief History of Humankind,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_4149493031_sccl_5/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/713jIoMO3UL._AC_UL300_SR300,200_.jpg",5,Yuval Noah Harari,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_4149493031_bl_sccl_5/000-0000000-0000000,4.7 out of 5 stars,"52,538",https://www.amazon.in/product-reviews/0099590085/ref=zg_bs_4149493031_cr_sccl_5/000-0000000-0000000
WINGS OF FIRE: AUTOBIOGRAPHY OF ABDUL KALAM,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461/ref=zg_bs_4149493031_sccl_6/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71KKZlVjbwL._AC_UL300_SR300,200_.jpg",6,Arun Tiwari,,4.6 out of 5 stars,"14,862",https://www.amazon.in/product-reviews/8173711461/ref=zg_bs_4149493031_cr_sccl_6/000-0000000-0000000
The Book of Five Rings (Hardcover Library Edition),https://www.amazon.in/Book-Five-Rings-Hardcover-Library/dp/9389440556/ref=zg_bs_4149493031_sccl_7/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81JhWyYzeeL._AC_UL300_SR300,200_.jpg",7,Miyamoto Musashi,https://www.amazon.in/Miyamoto-Musashi/e/B001IYXBKS/ref=zg_bs_4149493031_bl_sccl_7/000-0000000-0000000,4.4 out of 5 stars,"2,613",https://www.amazon.in/product-reviews/9389440556/ref=zg_bs_4149493031_cr_sccl_7/000-0000000-0000000
The Bhagwat Gita : Symphony of the Spirit (Hindi),https://www.amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_4149493031_sccl_8/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81jj54IP54L._AC_UL300_SR300,200_.jpg",8,RR Varma,,4.5 out of 5 stars,"1,227",https://www.amazon.in/product-reviews/8172345453/ref=zg_bs_4149493031_cr_sccl_8/000-0000000-0000000
101 Panchatantra Stories for Children: Colourful Illustrated Story book,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_4149493031_sccl_9/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/9173YBkMIsL._AC_UL300_SR300,200_.jpg",9,Om Books Editorial Team,https://www.amazon.in/Om-Books-Editorial-Team/e/B0811S8QJJ/ref=zg_bs_4149493031_bl_sccl_9/000-0000000-0000000,4.5 out of 5 stars,"7,717",https://www.amazon.in/product-reviews/935376517X/ref=zg_bs_4149493031_cr_sccl_9/000-0000000-0000000
Doglapan: The Hard Truth about Life and Start-Ups,https://www.amazon.in/Doglapan-Hard-Truth-about-Start-Ups-ebook/dp/B0BN23PQ6N/ref=zg_bs_4149493031_sccl_10/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71+Hb8VX91L._AC_UL300_SR300,200_.jpg",10,Ashneer Grover,https://www.amazon.in/Ashneer-Grover/e/B0BNJJDGXJ/ref=zg_bs_4149493031_bl_sccl_10/000-0000000-0000000,4.3 out of 5 stars,395,https://www.amazon.in/product-reviews/B0BN23PQ6N/ref=zg_bs_4149493031_cr_sccl_10/000-0000000-0000000
My Journey: Transforming Dreams into Actions,https://www.amazon.in/My-Journey-Transforming-Dreams-Actions-ebook/dp/B016APQJB2/ref=zg_bs_4149493031_sccl_11/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/41o6UpBtSjL._AC_UL300_SR300,200_.jpg",11,A.P.J. Abdul Kalam,https://www.amazon.in/A-P-J-Abdul-Kalam/e/B001H9RNS0/ref=zg_bs_4149493031_bl_sccl_11/000-0000000-0000000,4.7 out of 5 stars,"3,873",https://www.amazon.in/product-reviews/B016APQJB2/ref=zg_bs_4149493031_cr_sccl_11/000-0000000-0000000
The Art of War,https://www.amazon.in/Art-War-Sun-Tzu/dp/8172345240/ref=zg_bs_4149493031_sccl_12/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71H9cA7MvxS._AC_UL300_SR300,200_.jpg",12,Sun Tzu,https://www.amazon.in/Sun-Tzu/e/B001IGOJRK/ref=zg_bs_4149493031_bl_sccl_12/000-0000000-0000000,4.3 out of 5 stars,"10,693",https://www.amazon.in/product-reviews/8172345240/ref=zg_bs_4149493031_cr_sccl_12/000-0000000-0000000
