name,link,edition,author,release,ratings,rating_counts,price,genres
"Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",https://www.amazon.in/Phonic-Reader-Illustrated-Set-Books/dp/9394668772,,Maple Press, 7 October 2022,4.6,10.0,240.0,
garbhasanskar book in marathi,https://www.amazon.in/garbhasanskar-book-marathi-Balaji-Tambe/dp/B0B3TM1MHM,,Dr Balaji Tambe, 1 January 2022,3.8,4.0,900.0,
Trading Chart and Candlestick Patterns Books (A6 Size Pocket Book),https://www.amazon.in/Trading-Chart-Candlestick-Patterns-Pocket/dp/B0BKFGX2RW,,Trading Buddy, 1 January 2022,4.2,5.0,599.0,
Bhagwan Buddha Ani Tyancha Dhamma डॉ. बाबासाहेब आंबेडकर Tathagat Gautam budha Aani Dr. Babasaheb Ambedkar Book in Marathi Books and his dhama Buddhism गौतम बुद्ध आणि त्यांचा धम्म मराठी पुस्तक dharma,https://www.amazon.in/%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC-Tathagat-Babasaheb-Ambedkar-Buddhism/dp/9352203704,Marathi Edition ,Babasaheb Ambedkar, 6 December 2022,4.7,4.0,440.0,
"Intraday Trading : Share Market Books in Marathi (Indian Stock Option Technical Analysis & Investing, Learning Guide Zone) Bazar Book : शेअर मार्केट, इंट्राडे ट्रेडिंग, मराठी पुस्तक, Sharemarket on",https://www.amazon.in/Intraday-Trading-Technical-Investing-Sharemarket/dp/9352203747,Marathi Edition ,Indrazith Shantharaj and Jui Palekar-Parlikar, 1 November 2022,4.7,16.0,196.0,
(Hindi Book) Price Action Trading Technical Analysis Hindi,https://www.amazon.in/Hindi-Action-Trading-Technical-Analysis/dp/8195840604,Hindi Edition ,Sunil Gurjar (Chartmojo), 1 January 2022,5.0,3.0,350.0,
Mathematics and Statistics Practical Book For Class 12 ( XII ) - Arts and Science Stream. English Medium. Maharashtra State Board,https://www.amazon.in/Mathematics-Statistics-Practical-Book-Class/dp/B08QGNRLJW,,MSBTPC - Maharashtra Board Publications, 1 January 2020,4.4,21.0,57.0,
Brain Activity Book for Kids - 200+ Activities for Age 6+,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924875,,Maple Press, 10 May 2022,4.5,71.0,125.0,
101 Panchatantra Stories for Children: Colourful Illustrated Story book,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X,,Om Books Editorial Team, 30 September 2020,4.5,7712.0,250.0,Children's History
Jolly Kids My First Book of Phonics Words Key to Letter Sound Relationship| Learning the Letter Sounds| Blending| Word Formatting| Sight Words| Phonic Activity Book for Kindergarten Ages 3-7 Years,https://www.amazon.in/Relationship-Learning-Blending-Formatting-Kindergarten/dp/938705411X,,Jolly Kids, 1 January 2020,4.6,890.0,375.0,
Brain Activity Book for Kids - 200+ Activities for Age 5+,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924956,,Maple Press, 12 September 2022,4.0,4.0,125.0,
The Psychology of Money,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268,,Morgan Housel, 18 September 2020,4.6,45238.0,399.0,Books
Trading Mastermind Book - Become a Trading Expert From Scratch,https://www.amazon.in/Trading-Mastermind-Book-Become-Scratch/dp/B09V7R6BZZ,,Zebra Learn, 1 January 2022,4.2,87.0,3599.0,
Awesome Facts for Awesome Kids: A Fun & Fascinating Book of 700 Interesting Facts for Children Aged 8 - 12! (Awesome Books for Awesome People),https://www.amazon.in/Awesome-Facts-Kids-Fascinating-Interesting-ebook/dp/B0BR1BGPCL,,The Angry Whippet, 23 December 2022,3.0,2.0,0.0,
"General Management | Samanya Prabandhan | सामान्य प्रबंधन | Shree Kabeer Publication | Objective B.S.IQ.| Sanjay Dangi, Babulal Dangi",https://www.amazon.in/General-Management-Prabandhan-Publication-Objective/dp/B0BPGJJR7S,Hindi Edition ,Sanjay Dangi and Babulal Dangi, 1 January 2022,4.1,4.0,155.0,Madhya Pradesh Public Service Commission (MPPSC)
101 Brain Booster Activity Book: Fun Activity Book For Children,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793,,Wonder House Books, 25 January 2019,4.4,5101.0,225.0,
"Blossom Jumbo Creative Colouring Book for Kids 3 years to 5 years old | Best Drawing, Coloring, Painting and Art Book for Children with Color Reference Guide | A3 Size Colour Book for Kids | Level 1",https://www.amazon.in/Creative-Colouring-Children-Coloring-Reference/dp/B07YD7NCNL,,Content Team at Target Publications, 1 January 2020,4.4,2382.0,180.0,
"Success Key Presents Health Inspector, Malaria inspector, Sanitary inspector Mp Peb , Dsssb , Railway Recruitment Exam Book 2022",https://www.amazon.in/Presents-Inspector-inspector-Sanitary-Recruitment/dp/B0BNW5RTT5,Hindi Edition ,Vinod Kumar Meena, 1 January 2022,4.8,9.0,799.0,
Ladybird Big Noisy Book: Farm Hullaballoo!,https://www.amazon.in/Ladybird-Big-Noisy-Book-Hullaballoo/dp/1409306682,,Ladybird, 26 April 2011,4.6,2011.0,650.0,
"Sank Magic Practice for kids Copybook, Magic practice book for kids(4 BOOK + 10 REFILL+ 1 pen +1 grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/B09VCN8ZS8,,QSHIXLE, 1 January 2020,4.3,938.0,499.0,
Shine India Year Book 2023 (Telugu Medium),https://www.amazon.in/Shine-India-Year-Telugu-Medium/dp/B0BR83M7SP,Telugu Edition ,Sayyad Raja, 26 December 2022,,,239.0,
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,https://www.amazon.in/Eat-That-Frog-Great-Procrastinating/dp/152309513X,,Brian Tracy, 21 August 2018,4.6,6879.0,299.0,
Beginner's Photography Book: An introduction to digital photography and related terminology.,https://www.amazon.in/Beginners-Photography-Book-introduction-terminology-ebook/dp/B017GUJC32,,Keith Silvas, 1 November 2015,5.0,8.0,0.0,
