maincategory,subcategory,category,link,alt_link,iteration,qid,ref
4,beauty & health,Health & Personal Care,https://www.amazon.in/gp/browse.html?node=1350384031&ref_=nav_em_sbc_bhg_hpc_0_2_13_5,https://www.amazon.in/s?rh=n%3A1350384031&fs=true,400,1678609991,sr_pg_1
4,beauty & health,Amazon Pharmacy,https://www.amazon.in/gp/browse.html?node=18049712031&ref_=nav_em_sbc_desktop_pharmacy_0_2_13_6,https://www.amazon.in/s?rh=n%3A18049712031&fs=true,400,1678609992,sr_pg_1
4,beauty & health,Household Supplies,https://www.amazon.in/gp/browse.html?node=1374515031&ref_=nav_em_sbc_bhg_household_0_2_13_7,https://www.amazon.in/s?rh=n%3A1374515031&fs=true,400,1678609994,sr_pg_1
4,beauty & health,Personal Care Appliances,https://www.amazon.in/gp/browse.html?node=3150028031&ref_=nav_em_sbc_bhg_pca_0_2_13_8,https://www.amazon.in/s?rh=n%3A3150028031&fs=true,400,1678609996,sr_pg_1
4,beauty & health,Diet & Nutrition,https://www.amazon.in/gp/browse.html?node=1374489031&ref_=nav_em_sbc_bhg_dnn_0_2_13_9,https://www.amazon.in/s?rh=n%3A1374489031&fs=true,400,1678609999,sr_pg_1
4,beauty & health,Subscribe & Save,https://www.amazon.in/gp/browse.html?node=5728645031&ref_=nav_em_sbc_bhg_sns_0_2_13_10,https://www.amazon.in/s?rh=n%3A5728645031&fs=true,20,1678610002,sr_pg_1
4,beauty & health,Value Bazaar,https://www.amazon.in/gp/browse.html?node=6802110031&ref_=nav_em_sbc_bhg_valuebazaar_0_2_13_11,https://www.amazon.in/s?rh=n%3A6802110031&fs=true,7,1678610003,sr_pg_1
4,grocery & gourmet foods,All Grocery & Gourmet Foods,https://www.amazon.in/gp/browse.html?node=2454178031&ref_=nav_em_sbc_bhg_gourmet_all_0_2_13_13,https://www.amazon.in/s?rh=n%3A2454178031&fs=true,400,1678610006,sr_pg_1
4,grocery & gourmet foods,"Coffee, Tea & Beverages",https://www.amazon.in/gp/browse.html?node=4859478031&ref_=nav_em_sbc_bhg_beverages_0_2_13_14,https://www.amazon.in/s?rh=n%3A4859478031&fs=true,400,1678610008,sr_pg_1
4,grocery & gourmet foods,Snack Foods,https://www.amazon.in/gp/browse.html?node=4859498031&ref_=nav_em_sbc_bhg_snacks_0_2_13_15,https://www.amazon.in/s?rh=n%3A4859498031&fs=true,400,1678610011,sr_pg_1
5,sports & fitness,Cricket,https://www.amazon.in/gp/browse.html?node=3403628031&ref_=nav_em_sbc_sportslugg_cricket_0_2_14_2,https://www.amazon.in/s?rh=n%3A3403628031&fs=true,400,1678610013,sr_pg_1
5,sports & fitness,Badminton,https://www.amazon.in/gp/browse.html?node=3403619031&ref_=nav_em_sbc_sportslugg_badminton_0_2_14_3,https://www.amazon.in/s?rh=n%3A3403619031&fs=true,400,1678610016,sr_pg_1
5,sports & fitness,Cycling,https://www.amazon.in/gp/browse.html?node=3403629031&ref_=nav_em_sbc_sportslugg_cycling_0_2_14_4,https://www.amazon.in/s?rh=n%3A3403629031&fs=true,400,1678610019,sr_pg_1
5,sports & fitness,Football,https://www.amazon.in/gp/browse.html?node=3403640031&ref_=nav_em_sbc_sportslugg_football_0_2_14_5,https://www.amazon.in/s?rh=n%3A3403640031&fs=true,400,1678610021,sr_pg_1
5,sports & fitness,Running,https://www.amazon.in/gp/browse.html?node=3403659031&ref_=nav_em_sbc_sportslugg_running_0_2_14_6,https://www.amazon.in/s?rh=n%3A3403659031&fs=true,400,1678610024,sr_pg_1
