name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
H&B Jute Lunch Bag (LNH-PATTERN 1-WHT_Multicolored),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71kpnFTFg8L._AC_UL320_.jpg,https://www.amazon.in/Womens-Multicolour-Lunch-Bag/dp/B06XSRTPDL/ref=sr_1_33?qid=1679152724&s=apparel&sr=1-33,4.1,354,₹315,₹999
KLEIO Women's Sling Bag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71vmsQvifVS._AC_UL320_.jpg,https://www.amazon.in/Kleio-Designer-Double-Compartment-EDK1035KL-BL/dp/B0787BDZDY/ref=sr_1_34?qid=1679152724&s=apparel&sr=1-34,4.3,"1,756",₹699,"₹1,399"
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Cros...",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91awfU13nTL._AC_UL320_.jpg,https://www.amazon.in/Hammonds-Flycatcher-Leather-Brown-Laptop/dp/B01J1LCFMO/ref=sr_1_35?qid=1679152724&s=apparel&sr=1-35,4.4,835,"₹3,361","₹9,999"
WildHorn® Leather 8.5 inch Sling Messenger Bag for Men I Multipurpose Crossbody Bag I Travel Bag with Adjustable Strap I D...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91g2ILMG-TL._AC_UL320_.jpg,https://www.amazon.in/WildHorn-Leather-WomensSoftsided-MB205-TAN/dp/B0792YVZ64/ref=sr_1_36?qid=1679152724&s=apparel&sr=1-36,4.1,696,"₹1,859","₹4,999"
Caprese Women's Handbag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61DrjmXJ8vL._AC_UL320_.jpg,https://www.amazon.in/Caprese-Shyla-Womens-Sling-Peach/dp/B07GLLKSRX/ref=sr_1_37?qid=1679152724&s=apparel&sr=1-37,3.9,538,₹739,"₹2,149"
KLEIO Women's Sling Bag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81n-3A6Zk-L._AC_UL320_.jpg,https://www.amazon.in/Kleio-Womens-Sling-Black-BnB306LY-Bl/dp/B01CZJGN0E/ref=sr_1_38?qid=1679152724&s=apparel&sr=1-38,4.1,962,₹626.10,"₹1,199"
K London Black & Pink Synthetic Women's Wallet (1515_Black_Pink),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61VpacVz7mL._AC_UL320_.jpg,https://www.amazon.in/London-Stylish-Zipped-Pocket-Wallet/dp/B015RRQI42/ref=sr_1_39?qid=1679152724&s=apparel&sr=1-39,4.1,565,₹390,"₹1,500"
Lino Perros Women's Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61e9ZFKdf+L._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Clutch-Black/dp/B00QLX234Q/ref=sr_1_40?qid=1679152724&s=apparel&sr=1-40,4.1,"1,202",₹427,"₹1,095"
Fostelo Clutch For Women And Girls | Ladies Wallet Faux Leather Clutch | Woman Gifts | Wedding Gifts For Woman | Women 8 C...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71W8r-gURtL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Versatile-Womens-Clutch-Blue/dp/B076MT1CBC/ref=sr_1_41?qid=1679152724&s=apparel&sr=1-41,4.2,"2,175",₹399,"₹1,499"
K London Stylish Brown Long Women Purse Wallet Clutch with Loop Closure & 2 Zipped Pockets-AZ01_Leather_BRN,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/612xZacG4FL._AC_UL320_.jpg,https://www.amazon.in/London-Brown-Leather-Womens-Wallet/dp/B0108YTU12/ref=sr_1_42?qid=1679152724&s=apparel&sr=1-42,4.3,865,₹849,"₹2,000"
RangTeq Unisex Canvas Jute Yoga Print Beige Bag with top Zipper - Combo of 3,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81LbmJ6g+DL._AC_UL320_.jpg,https://www.amazon.in/RangTeq-Unisex-Canvas-Yoga-Bag/dp/B07CLVV16M/ref=sr_1_43?qid=1679152724&s=apparel&sr=1-43,4.1,511,₹380,₹999
