maincategory,subcategory,category,link
4,beauty & health,Personal Care Appliances,https://www.amazon.in/gp/browse.html?node=3150028031&ref_=nav_em_sbc_bhg_pca_0_2_13_8
4,beauty & health,Diet & Nutrition,https://www.amazon.in/gp/browse.html?node=1374489031&ref_=nav_em_sbc_bhg_dnn_0_2_13_9
4,beauty & health,Subscribe & Save,https://www.amazon.in/gp/browse.html?node=5728645031&ref_=nav_em_sbc_bhg_sns_0_2_13_10
4,beauty & health,Value Bazaar,https://www.amazon.in/gp/browse.html?node=6802110031&ref_=nav_em_sbc_bhg_valuebazaar_0_2_13_11
4,grocery & gourmet foods,All Grocery & Gourmet Foods,https://www.amazon.in/gp/browse.html?node=2454178031&ref_=nav_em_sbc_bhg_gourmet_all_0_2_13_13
4,grocery & gourmet foods,"Coffee, Tea & Beverages",https://www.amazon.in/gp/browse.html?node=4859478031&ref_=nav_em_sbc_bhg_beverages_0_2_13_14
4,grocery & gourmet foods,Snack Foods,https://www.amazon.in/gp/browse.html?node=4859498031&ref_=nav_em_sbc_bhg_snacks_0_2_13_15
5,sports & fitness,Cricket,https://www.amazon.in/gp/browse.html?node=3403628031&ref_=nav_em_sbc_sportslugg_cricket_0_2_14_2
5,sports & fitness,Badminton,https://www.amazon.in/gp/browse.html?node=3403619031&ref_=nav_em_sbc_sportslugg_badminton_0_2_14_3
5,sports & fitness,Cycling,https://www.amazon.in/gp/browse.html?node=3403629031&ref_=nav_em_sbc_sportslugg_cycling_0_2_14_4
5,sports & fitness,Football,https://www.amazon.in/gp/browse.html?node=3403640031&ref_=nav_em_sbc_sportslugg_football_0_2_14_5
5,sports & fitness,Running,https://www.amazon.in/gp/browse.html?node=3403659031&ref_=nav_em_sbc_sportslugg_running_0_2_14_6
5,sports & fitness,Camping & Hiking,https://www.amazon.in/gp/browse.html?node=1984988031&ref_=nav_em_sbc_sportslugg_camping_0_2_14_7
5,sports & fitness,Fitness Accessories,https://www.amazon.in/gp/browse.html?node=3403925031&ref_=nav_em_sbc_sportslugg_fitness_acc_0_2_14_8
5,sports & fitness,Yoga,https://www.amazon.in/gp/browse.html?node=3403935031&ref_=nav_em_sbc_sportslugg_yoga_0_2_14_9
5,sports & fitness,Strength Training,https://www.amazon.in/gp/browse.html?node=3403933031&ref_=nav_em_sbc_sportslugg_strength_0_2_14_10
5,sports & fitness,Cardio Equipment,https://www.amazon.in/gp/browse.html?node=3403926031&ref_=nav_em_sbc_sportslugg_cardio_0_2_14_11
5,sports & fitness,Sports Collectibles,https://www.amazon.in/gp/browse.html?node=14158326031&ref_=nav_em_sbc_sportslugg_collectibles_0_2_14_12
5,sports & fitness,Refurbished & Open Box,https://www.amazon.in/gp/browse.html?node=15290772031&ref_=nav_em_sbc_sports_certfied_refurbished_0_2_14_13
5,sports & fitness,All Exercise & Fitness,https://www.amazon.in/gp/browse.html?node=3403635031&ref_=nav_em_sbc_sportslugg_exercise_0_2_14_14
5,sports & fitness,"All Sports, Fitness & Outdoors",https://www.amazon.in/gp/browse.html?node=1984443031&ref_=nav_em_sbc_sportslugg_all_sports_0_2_14_15
5,bags & luggage,Backpacks,https://www.amazon.in/gp/browse.html?node=2917430031&ref_=nav_em_sbc_sportslugg_backpacks_0_2_14_17
5,bags & luggage,Rucksacks,https://www.amazon.in/gp/browse.html?node=1984997031&ref_=nav_em_sbc_sportslugg_rucksacks_0_2_14_18
5,bags & luggage,Suitcases & Trolley Bags,https://www.amazon.in/gp/browse.html?node=2917450031&ref_=nav_em_sbc_sportslugg_checkinbags_0_2_14_19
5,bags & luggage,Travel Duffles,https://www.amazon.in/gp/browse.html?node=2917451031&ref_=nav_em_sbc_sportslugg_duffles_0_2_14_20
5,bags & luggage,Travel Accessories,https://www.amazon.in/gp/browse.html?node=2917434031&ref_=nav_em_sbc_sportslugg_travelacc_0_2_14_21
5,bags & luggage,Wallets,https://www.amazon.in/gp/browse.html?node=2917484031&ref_=nav_em_sbc_sportslugg_wallets_0_2_14_22
6,toys & baby products,Toys & Games,https://www.amazon.in/gp/browse.html?node=1350380031&ref_=nav_em_sbc_tbk_toys_games_0_2_15_2
6,toys & baby products,Baby Products,https://www.amazon.in/gp/browse.html?node=1571274031&ref_=nav_em_sbc_tbk_baby_products_0_2_15_3
6,toys & baby products,Diapers,https://www.amazon.in/gp/browse.html?node=1953345031&ref_=nav_em_sbc_tbk_diapers_0_2_15_4
6,toys & baby products,Toys Gifting Store,https://www.amazon.in/gp/browse.html?node=12187967031&ref_=nav_em_sbc_tbk_toysgiftstore_0_2_15_5
6,toys & baby products,STEM Toys Store,https://www.amazon.in/gp/browse.html?node=9783607031&ref_=nav_em_sbc_tbk_stemtoys_0_2_15_6
6,toys & baby products,International Toy Store,https://www.amazon.in/gp/browse.html?node=8988918031&ref_=nav_em_sbc_tbk_intltoys_0_2_15_7
6,toys & baby products,"Baby Bath, Skin & Grooming",https://www.amazon.in/gp/browse.html?node=1953111031&ref_=nav_em_sbc_tbk_babybath_0_2_15_8
6,toys & baby products,Strollers & Prams,https://www.amazon.in/gp/browse.html?node=1953480031&ref_=nav_em_sbc_tbk_strollers_0_2_15_9
6,toys & baby products,Nursing & Feeding,https://www.amazon.in/gp/browse.html?node=1953448031&ref_=nav_em_sbc_tbk_nursing_0_2_15_10
6,toys & baby products,Subscribe & Save,https://www.amazon.in/gp/browse.html?node=5728645031&ref_=nav_em_sbc_tbk_sns_0_2_15_11
6,toys & baby products,Pantry,https://www.amazon.in/gp/browse.html?node=9574332031&ref_=nav_em_sbc_tbk_pantry_0_2_15_12
6,kids' fashion,Kids' Clothing,https://www.amazon.in/gp/browse.html?node=4091091031&ref_=nav_em_sbc_tbk_kids_clothing_0_2_15_14
6,kids' fashion,Kids' Shoes,https://www.amazon.in/gp/browse.html?node=4091095031&ref_=nav_em_sbc_tbk_kids_shoes_0_2_15_15
6,kids' fashion,School Bags,https://www.amazon.in/gp/browse.html?node=2917444031&ref_=nav_em_sbc_tbk_school_bags_0_2_15_16
6,kids' fashion,Kids' Watches,https://www.amazon.in/gp/browse.html?node=8564835031&ref_=nav_em_sbc_tbk_kids_watches_0_2_15_17
6,kids' fashion,Kids' Fashion,https://www.amazon.in/gp/browse.html?node=9361420031&ref_=nav_em_sbc_tbk_kids_fashion_0_2_15_18
6,kids' fashion,Baby Fashion,https://www.amazon.in/gp/browse.html?node=11987349031&ref_=nav_em_sbc_tbk_baby_fashion_0_2_15_19
7,car & motorbike,Motorbike Accessories & Parts,https://www.amazon.in/gp/browse.html?node=5257478031&ref_=nav_em_sbc_auto_bike_acc_0_2_16_2
7,car & motorbike,Car Accessories,https://www.amazon.in/gp/browse.html?node=5257474031&ref_=nav_em_sbc_auto_caracc_0_2_16_3
7,car & motorbike,Car Electronics,https://www.amazon.in/gp/browse.html?node=1389221031&ref_=nav_em_sbc_auto_carelec_0_2_16_4
7,car & motorbike,Car Parts,https://www.amazon.in/gp/browse.html?node=5257475031&ref_=nav_em_sbc_auto_carparts_0_2_16_5
7,car & motorbike,Car & Bike Care,https://www.amazon.in/gp/browse.html?node=5257472031&ref_=nav_em_sbc_auto_care_0_2_16_6
7,car & motorbike,All Car & Motorbike Products,https://www.amazon.in/gp/browse.html?node=4772060031&ref_=nav_em_sbc_auto_all_0_2_16_7
7,industrial supplies,Industrial & Scientific Supplies,https://www.amazon.in/gp/browse.html?node=5866078031&ref_=nav_em_sbc_auto_ind_all_0_2_16_9
7,industrial supplies,"Test, Measure & Inspect",https://www.amazon.in/gp/browse.html?node=6395912031&ref_=nav_em_sbc_auto_ind_test_0_2_16_10
7,industrial supplies,Lab & Scientific,https://www.amazon.in/gp/browse.html?node=6409335031&ref_=nav_em_sbc_auto_ind_lab_0_2_16_11
7,industrial supplies,Janitorial & Sanitation Supplies,https://www.amazon.in/gp/browse.html?node=6563520031&ref_=nav_em_sbc_auto_ind_jansan_0_2_16_12
8,books,All Books,https://www.amazon.in/gp/browse.html?node=976389031&ref_=nav_em_sbc_books_all_0_2_17_2
8,books,Fiction Books,https://www.amazon.in/gp/browse.html?node=1318157031&ref_=nav_em_sbc_books_fiction_0_2_17_3
8,books,Editor's Corner,https://www.amazon.in/gp/browse.html?node=10591963031&ref_=nav_em_sbc_books_editorscorner_0_2_17_4
8,books,School Textbooks,https://www.amazon.in/gp/browse.html?node=4149807031&ref_=nav_em_sbc_books_schooltexts_0_2_17_5
8,books,Children's Books,https://www.amazon.in/gp/browse.html?node=1318073031&ref_=nav_em_sbc_books_children_0_2_17_6
8,books,Exam Central,https://www.amazon.in/gp/browse.html?node=4149751031&ref_=nav_em_sbc_books_examcentral_0_2_17_7
8,books,Textbooks,https://www.amazon.in/gp/browse.html?node=4149418031&ref_=nav_em_sbc_books_textbooks_0_2_17_8
8,books,Indian Language Books,https://www.amazon.in/gp/browse.html?node=4932325031&ref_=nav_em_sbc_books_indian_0_2_17_9
8,books,Kindle eBooks,https://www.amazon.in/gp/browse.html?node=1634753031&ref_=nav_em_sbc_books_ebooks_0_2_17_10
8,audible audiobooks,Audible Audiobooks & more,https://www.amazon.in/gp/browse.html?node=11477925031&ref_=nav_em_aud_0_2_17_12
8,audible audiobooks,Audible Membership,https://www.amazon.in/dp/B077S5CVBQ?ref_=nav_em_aud_1_0_2_17_13
9,movies & tv shows,All Movies & TV Shows,https://www.amazon.in/gp/browse.html?node=976416031&ref_=nav_em_sbc_mmvg_movies_all_0_2_18_2
9,movies & tv shows,Blu-ray,https://www.amazon.in/gp/browse.html?node=1575405031&ref_=nav_em_sbc_mmvg_movies_bluray_0_2_18_3
9,movies & tv shows,All English,https://www.amazon.in/gp/browse.html?node=4068583031&ref_=nav_em_sbc_mmvg_movies_eng_0_2_18_4
9,movies & tv shows,All Hindi,https://www.amazon.in/gp/browse.html?node=4068584031&ref_=nav_em_sbc_mmvg_movies_hindi_0_2_18_5
9,movies & tv shows,Entertainment Collectibles,https://www.amazon.in/gp/browse.html?node=14596996031&ref_=nav_em_sbc_mmvg_ent_collectibles_0_2_18_6
9,video games,Gaming Consoles,https://www.amazon.in/gp/browse.html?node=4092115031&ref_=nav_em_sbc_mmvg_consoles_0_2_18_8
9,video games,Latest Video Games,https://www.amazon.in/gp/browse.html?node=4069183031&ref_=nav_em_sbc_mmvg_latestvg_0_2_18_9
9,video games,Gaming Accessories,https://www.amazon.in/gp/browse.html?node=4092116031&ref_=nav_em_sbc_mmvg_vgaccessories_0_2_18_10
9,video games,PC Games,https://www.amazon.in/gp/browse.html?node=1376518031&ref_=nav_em_sbc_mmvg_pcgames_0_2_18_11
9,video games,Video Games Deals,https://www.amazon.in/gp/browse.html?node=4238594031&ref_=nav_em_sbc_mmvg_vgdeals_0_2_18_12
9,video games,All Video Games,https://www.amazon.in/gp/browse.html?node=976460031&ref_=nav_em_sbc_mmvg_allvg_0_2_18_13
9,music,All Music,https://www.amazon.in/gp/browse.html?node=976445031&ref_=nav_em_sbc_mmvg_music_all_0_2_18_15
9,music,International Music,https://www.amazon.in/gp/browse.html?node=4092674031&ref_=nav_em_sbc_mmvg_music_intl_0_2_18_16
9,music,Film Songs,https://www.amazon.in/gp/browse.html?node=1375845031&ref_=nav_em_sbc_mmvg_music_films_0_2_18_17
9,music,Indian Classical,https://www.amazon.in/gp/browse.html?node=1375848031&ref_=nav_em_sbc_mmvg_music_classical_0_2_18_18
9,music,Musical Instruments & Professional Audio,https://www.amazon.in/gp/browse.html?node=3677697031&ref_=nav_em_sbc_mmvg_musical_inst_0_2_18_19
9,stream music,Open web player,https://music.amazon.in/home?ref_=nav_em_dmm_in_nav_pc_mu_webplayer_0_2_18_21
9,stream music,Amazon Prime Music,http://www.amazon.in/music/prime?ref_=nav_em_dmm_in_nav_pc_mu_mlp_0_2_18_22
